Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
151,"C.S. Xia","Automated Program Repair in the Era of Large Pre-trained Language Models",2023,"Proceedings - International Conference on Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85167699778&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85167699778&origin=inward",1,"2025-03-14 11:30:04","Conference Paper","10.1109/ICSE48619.2023.00129","0270-5257","https://api.elsevier.com/content/abstract/scopus_id/85167699778",,,1482,1494,151,75.50,151,1,2,"","",""
84,"Z. Fan","Automated Repair of Programs from Large Language Models",2023,"Proceedings - International Conference on Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166065897&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85166065897&origin=inward",4,"2025-03-14 11:30:04","Conference Paper","10.1109/ICSE48619.2023.00128","0270-5257","https://api.elsevier.com/content/abstract/scopus_id/85166065897",,,1469,1481,84,42.00,84,1,2,"","",""
66,"D. Sobania","An Analysis of the Automatic Bug Fixing Performance of ChatGPT",2023,"Proceedings - 2023 IEEE/ACM International Workshop on Automated Program Repair, APR 2023","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85168084339&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85168084339&origin=inward",5,"2025-03-14 11:30:04","Conference Paper","10.1109/APR59189.2023.00012","","https://api.elsevier.com/content/abstract/scopus_id/85168084339",,,23,30,66,33.00,66,1,2,"","",""
96,"C.S. Xia","Less training, more repairing please: revisiting automated program repair via zero-shot learning",2022,"ESEC/FSE 2022 - Proceedings of the 30th ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143085938&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85143085938&origin=inward",2,"2025-03-14 11:30:04","Conference Paper","10.1145/3540250.3549101","","https://api.elsevier.com/content/abstract/scopus_id/85143085938",,,959,971,96,32.00,96,1,3,"","",""
94,"H. Ye","Neural Program Repair with Execution-based Backpropagation",2022,"Proceedings - International Conference on Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85130298109&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130298109&origin=inward",3,"2025-03-14 11:30:04","Conference Paper","10.1145/3510003.3510222","0270-5257","https://api.elsevier.com/content/abstract/scopus_id/85130298109",2022,,1506,1518,94,31.33,94,1,3,"","",""
56,"N. Jiang","Impact of Code Language Models on Automated Program Repair",2023,"Proceedings - International Conference on Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85159653141&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85159653141&origin=inward",7,"2025-03-14 11:30:04","Conference Paper","10.1109/ICSE48619.2023.00125","0270-5257","https://api.elsevier.com/content/abstract/scopus_id/85159653141",,,1430,1442,56,28.00,56,1,2,"","",""
64,"J.A. Prenner","Can OpenAI's Codex Fix Bugs?: An evaluation on QuixBugs",2022,"Proceedings - International Workshop on Automated Program Repair, APR 2022","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135169988&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85135169988&origin=inward",6,"2025-03-14 11:30:04","Conference Paper","10.1145/3524459.3527351","","https://api.elsevier.com/content/abstract/scopus_id/85135169988",,,69,75,64,21.33,64,1,3,"","",""
55,"Y. Li","DEAR: A Novel Deep Learning-based Approach for Automated Program Repair",2022,"Proceedings - International Conference on Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85133531314&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85133531314&origin=inward",8,"2025-03-14 11:30:04","Conference Paper","10.1145/3510003.3510177","0270-5257","https://api.elsevier.com/content/abstract/scopus_id/85133531314",2022,,511,523,55,18.33,55,1,3,"","",""
35,"Y. Wei","Copiloting the Copilots: Fusing Large Language Models with Completion Engines for Automated Program Repair",2023,"ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85179806112&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85179806112&origin=inward",11,"2025-03-14 11:30:04","Conference Paper","10.1145/3611643.3616271","","https://api.elsevier.com/content/abstract/scopus_id/85179806112",,,172,184,35,17.50,35,1,2,"","",""
33,"W. Wang","RAP-Gen: Retrieval-Augmented Patch Generation with CodeT5 for Automatic Program Repair",2023,"ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85180547399&origin=inward","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85180547399&origin=inward",12,"2025-03-14 11:30:04","Conference Paper","10.1145/3611643.3616256","","https://api.elsevier.com/content/abstract/scopus_id/85180547399",,,146,158,33,16.50,33,1,2,"","",""
